시군명	기관구분명	기관명	소재지지번주소	소재지도로명주소	소재지우편번호	WGS84위도	WGS84경도	전화번호	홈페이지URL	입소정원수(명)	입소현원수(명)	종사자정원수(명)	종사자현원수(명)	설치신고일	법인명정보
구리시	지적장애인시설	한나의집	경기도 구리시 사노동 544-3번지	경기도 구리시 동구릉로459번길 168	11904	37.6368903	127.131064	031-574-7537	www.hanna.or.kr	29	21	9	6	2007-07-06	개인
김포시	지체장애인시설	예지원	경기도 김포시 월곶면 용강리 315-155번지	경기도 김포시 월곶면 용강로 377	10001	37.75220485	126.559397	031-996-0678	www.삼보장애인복지.org	40	31	31	30	2008-11-28	삼보복지재단
김포시	지적장애인시설	즐거운집	경기도 김포시 월곶면 갈산리 225-10번지	경기도 김포시 월곶면 점동로96번길 24	10022	37.7152072	126.5651719	031-998-7244	www.	20	6	5	5	2011-12-12	개인
김포시	지적장애인시설	통진프란치스꼬집	경기도 김포시 통진읍 서암리 921-5번지	경기도 김포시 통진읍 김포대로 2398-68	10016	37.7001244	126.5848091	031-988-3175	www.	16	13	12	11	2012-11-22	(재)천주교꼰벤뚜알성프란치스꼬수도회
남양주시	지적장애인시설	두리원	경기도 남양주시 수동면 입석리 603-7번지	경기도 남양주시 수동면 비룡로908번길 52-19	12029	37.7217744	127.3197663	031-593-5636	www.	21	21	18	16	2006-11-29	사회복지법인 두리원
남양주시	지적장애인시설	새롬의 집	경기도 남양주시 진접읍 연평리 487번지	경기도 남양주시 진접읍 양진로684번길 1-48	12073	37.6829939	127.173009	031-572-3994	http://cafe.daum.net/saerom7517	29	17	7	7	2008-02-26	개인
남양주시	지적장애인시설	시온찬양의 집	경기도 남양주시 화도읍 차산리 840번지	경기도 남양주시 화도읍 수레로964번길 106	12199	37.6250022	127.2879094	031-593-8887	http://www.ziontown.net/	29	23	8	8	2006-06-30	개인
남양주시	지적장애인시설	신망애재활원	경기도 남양주시 수동면 입석리 522-2번지	경기도 남양주시 수동면 비룡로972번길 17	12029	37.7209407	127.3148515	031-594-6644	www.shma.kr	120	120	87	80	1983-08-12	신망애복지재단
남양주시	지적장애인시설	신소망의집	경기도 남양주시 별내동 788-6번지	경기도 남양주시 불암산로97번길 22-18	12100	37.6522443	127.1014236	031-527-7766	www.sinsomang.com	29	15	7	7	2007-07-25	개인
남양주시	지적장애인시설	신애원	경기도 남양주시 진접읍 연평리 331-1번지	경기도 남양주시 진접읍 남가로131번길 14	12073	37.6935178	127.1786454	031-574-1004	http://cafe.naver.com/sinae1004	29	9	5	5	2006-12-26	개인
남양주시	지적장애인시설	행복한집	경기도 남양주시 화도읍 창현리 105번지	경기도 남양주시 화도읍 폭포로 301-34	12196	37.6398947	127.3198827	031-595-9346	http://cafe.naver.com/happyjip	29	11	6	6	2006-11-27	개인
부천시	지적장애인시설	부천혜림원	경기도 부천시 소사구 심곡본동 523-99번지	경기도 부천시 소사구 경인로304번길 26	14753	37.4809045	126.7886574	032-666-7990	http://haelim.bucheon4u.kr	55	47	42	42	1976-10-16	사회복지법인 백십자사
성남시	지적장애인시설	다사랑마을	경기도 성남시 수정구 복정동 581-2번지	경기도 성남시 수정구 성남대로1379번길 25	13108	37.4531332	127.1234828	031-754-6128	www.	15	14	6	6	2006-06-26	개인
성남시	지적장애인시설	에덴의집	경기도 성남시 중원구 금광동 2353번지	경기도 성남시 중원구 금빛로42번길 9-1	13183	37.4459967	127.1686174	031-733-5137	www.	17	16	5	5	2007-01-29	개인
성남시	지적장애인시설	열린사랑의집	경기도 성남시 수정구 신흥동 5971번지	경기도 성남시 수정구 탄리로 54	13339	37.44082044	127.1369656	031-734-3309	http://cafe.daum.net/open3309	25	24	7	7	2006-06-26	개인
성남시	지적장애인시설	예가원	경기도 성남시 분당구 야탑동 83번지	경기도 성남시 분당구 새나리로38번길 13	13509	37.4018055	127.1597672	031-705-2366	www.rainbowhill.org	53	50	48	44	2001-11-23	무지개동산
성남시	지적장애인시설	우리공동체	경기도 성남시 중원구 상대원동 1125-10번지	경기도 성남시 중원구 박석로 12	13228	37.4337467	127.1660369	031-733-5045	www.	18	13	5	5	2006-06-26	개인
수원시	지적장애인시설	바다의별	경기도 수원시 장안구 이목동 23-3번지	경기도 수원시 장안구 장안로458번길 142	16200	37.3240047	126.9752063	031-251-4930	www.badastar.or.kr	52	20	45	44	2003-11-06	사회복지법인 바다의별
수원시	지체장애인시설	사랑을 나누는 집	경기도 수원시 장안구 영화동 408-14번지	경기도 수원시 장안구 수성로304번길 35-23	16273	37.29037406	127.0072808	031-242-9811	http://www.swnanum.org/	12	11	5	4	2007-04-19	개인
수원시	지적장애인시설	수봉재활원	경기도 수원시 권선구 탑동 516-1번지	경기도 수원시 권선구 수봉로 43	16610	37.2648798	126.9770655	031-293-4298	www.수봉재활원.kr	38	38	35	32	1991-09-30	사단법인 자행회
시흥시	지적장애인시설	벽진원	경기도 시흥시 포동 88-4번지	경기도 시흥시 새우개2길 56-9	14961	37.404912	126.7731633	031-316-0773	http://blog.daum.net/bjw3160773	16	14	12	11	2007-01-03	벽진원
안산시	지적장애인시설	만나복지원	경기도 안산시 단원구 선부동 1048-1번지	경기도 안산시 단원구 석수로7길 9-1	15219	37.3459445	126.8050783	031-487-0449	www.	29	16	14	4	2008-03-06	개인
안산시	지적장애인시설	명휘원	경기도 안산시 상록구 사동 1273번지	경기도 안산시 상록구 해안로 865	15627	37.2838457	126.8402653	031-406-1134	www.mhw.or.kr	80	60	50	45	2000-12-30	명휘원
안산시	지적장애인시설	안산평화의집	경기도 안산시 상록구 본오동 982-7번지	경기도 안산시 상록구 고목로3길 8	15575	37.2833754	126.8598533	031-417-7091	www.i-shalom.or.kr	43	42	34	32	2002-03-04	평화재단
안성시	지적장애인시설	다비타의집	경기도 안성시 죽산면 장원리 995-1번지	경기도 안성시 죽산면 걸미로 778-54	17520	37.0606875	127.4139685	031-676-0025	https://fmss2021.cafe24.com/bbs/board.php?bo_table=wellfare&wr_id=2	30	26	31	30	2005-04-02	사회복지법인 프란치스코사회복지회
안성시	청각·언어 장애인시설	성요셉의집	경기도 안성시 원곡면 내가천리 117번지	경기도 안성시 원곡면 새터길 74	17556	37.04396581	127.122378	031-653-3169	http://www.deafjosep.or.kr/	30	21	19	19	1991-10-22	(재)서울포교성베네딕도수녀회
안성시	지적장애인시설	한길마을	경기도 안성시 고삼면 가유리 337-3번지	경기도 안성시 고삼면 행복길 19	17505	37.08332529	127.2640612	031-672-9044	http://www.hgtown.or.kr/	30	29	30	28	2015-06-16	사회복지법인 한길복지재단
안양시	지적장애인시설	사랑의집	경기도 안양시 만안구 박달동 85-23번지	경기도 안양시 만안구 양화로105번길 39	14009	37.4019979	126.9083394	031-448-8595	www.withlovehouse.or.kr	30	29	28	26	2003-12-01	사회복지법인 사랑의집
양주시	지적장애인시설	나루터공동체	경기도 양주시 삼숭동 395-2번지	경기도 양주시 삼숭로134번길 49	11484	37.8064536	127.0996977	031-847-2322	www.naruter.or.kr	30	28	29	26	2001-08-23	(재)한국순교복자성직수도회
양주시	지적장애인시설	미리내공동체	경기도 양주시 백석읍 기산리 370-8번지	경기도 양주시 백석읍 기산로440번길 110-43	11518	37.7702839	126.9371323	031-871-6141	http://marinai.hompee.com	15	15	13	13	2015-11-19	사회복지법인 하영사복지회
양주시	지적장애인시설	베들레헴 기쁨의집	경기도 양주시 남면 입암리 405번지	경기도 양주시 남면 감악산로20번길 188	11405	37.8779645	126.9923453	031-867-1003	http://blog.naver.com/youngsu0603	20	19	8	7	2006-06-01	개인
양주시	지적장애인시설	보아스사랑의집	경기도 양주시 남면 입암리 81-1번지	경기도 양주시 남면 삼일로 711-6	11405	37.87907955	126.9964945	031-861-2488	http://www.boazlove.com	29	28	9	9	2005-08-02	개인
양주시	지적장애인시설	에바다집선교회	경기도 양주시 은현면 도하리 543번지	경기도 양주시 은현면 검준2길 212	11432	37.85679003	126.9959001	031-867-1415	http://www.ebadah.co.kr/	10	6	5	4	2005-03-19	개인
양주시	지적장애인시설	호산나의집	경기도 양주시 남면 신산리 85번지	경기도 양주시 남면 삼일로849번길 238	11406	37.8897744	126.9820213	031-871-1910	www.	35	29	18	11	2005-04-16	개인
양평군	지적장애인시설	보담	경기도 양평군 양평읍 대흥리 506-24번지	경기도 양평군 양평읍 대흥로 60	12564	37.4865575	127.5412519	031-774-8338	www.gh365.com/jk/	31	31	30	28	2005-10-17	사회복지법인 씨엘
양평군	지적장애인시설	양평천사의집	경기도 양평군 양서면 신원리 182-1번지	경기도 양평군 양서면 신원1길 199	12583	37.5357138	127.3786255	031-774-4775	http://happylog.naver.com/bds1004.do	29	29	22	22	2018-02-14	사회복지법인 천사재단
양평군	지적장애인시설	창인재활원	경기도 양평군 단월면 덕수리 217-1번지	경기도 양평군 단월면 백동길 92	12528	37.5452749	127.6826532	031-775-0227	www.changinwon.or.kr	41	41	45	38	1991-06-18	사회복지법인 창인원
여주시	지체장애인시설	예수사랑의집	경기도 여주시 대신면 상구리 202-10번지	경기도 여주시 대신면 상구5길 23	12611	37.38396006	127.6381205	031-883-3384	www.	9	7	4	3	2006-12-29	개인
여주시	지적장애인시설	평화재활원	경기도 여주시 점동면 청안리 486-2번지	경기도 여주시 점동면 가남로 1007-69	12667	37.2095345	127.6426692	031-884-0533	www.osunjel.org	100	88	67	61	1996-06-16	오순절평화의마을
용인시	지적장애인시설	꽃동산	경기도 용인시 처인구 남사읍 진목리 390-8번지	경기도 용인시 처인구 남사읍 어진로102번길 79	17124	37.0917304	127.1242007	031-339-1403	www.	10	6	3	3	2008-09-09	개인
용인시	시각장애인시설	새빛요한의 집	경기도 용인시 처인구 원삼면 사암리 316-4번지	경기도 용인시 처인구 원삼면 원양로 363-12	17167	37.19163624	127.3028656	031-321-9862	https://cafe.naver.com/saebityohan	30	20	24	22	2006-11-14	사회복지법인 새빛복지재단
용인시	지적장애인시설	생수사랑회장애인복지시설	경기도 용인시 처인구 이동읍 송전리 169-2번지	경기도 용인시 처인구 이동읍 백옥대로 84-60	17137	37.1407036	127.2030988	031-321-6112	http://cafe.naver.com/slove21	15	12	5	4	2008-04-10	개인
용인시	지적장애인시설	성가원	경기도 용인시 처인구 백암면 장평리 654-6번지	경기도 용인시 처인구 백암면 강정길 42-12	17182	37.120704	127.3794227	031-333-6287	https://cafe.daum.net/sunggawon84	34	29	32	28	2005-03-16	영보사회복지회
용인시	지적장애인시설	참사랑마을	경기도 용인시 처인구 모현읍 왕산리 300-2번지	경기도 용인시 처인구 모현읍 왕담로88번길 27	17035	37.3258728	127.2558952	031-333-1267	www.chamtown.co.kr	10	9	5	5	2006-08-22	개인
용인시	지적장애인시설	하늘의별	경기도 용인시 처인구 원삼면 문촌리 545-2번지	경기도 용인시 처인구 원삼면 이원로913번길 50-4	17169	37.1570587	127.2864586	031-321-4982	http://www.haedunsol.or.kr/	30	30	34	32	2015-01-14	바다의별
용인시	지적장애인시설	해든솔	경기도 용인시 처인구 백암면 옥산리 444번지	경기도 용인시 처인구 백암면 한택로88번길 53	17183	37.1012653	127.4077194	031-323-3340	www.haedunsol.or.kr	30	30	33	28	2004-03-03	사회복지법인 해든솔
용인시	지적장애인시설	해오름의집	경기도 용인시 수지구 성복동 510-5번지	경기도 용인시 수지구 성복2로301번길 23	16805	37.3169591	127.0558364	031-261-0863	www.heoorum.org	30	28	28	27	2009-08-24	무지개동산
의왕시	지적장애인시설	녹향원	경기도 의왕시 청계동 43번지	경기도 의왕시 청계로 376	16000	37.4057181	127.0283626	031-426-6698	http://nhw6698.or.kr/	30	30	29	24	1990-03-05	대한불교조계종사회복지재단
의정부시	지체장애인시설	꿈이있는땅	경기도 의정부시 녹양동 387-11번지	경기도 의정부시 비우로49번길 6	11606	37.75805142	127.0321288	031-837-1008	http://꿈이있는땅.com/	20	12	12	12	2005-07-14	의정부밀알복지재단
의정부시	지적장애인시설	밀알의 집	경기도 의정부시 녹양동 168-23번지	경기도 의정부시 체육로 224	11607	37.7609287	127.0322629	031-836-5054	https://milalhouse.modoo.at/?pc=1	15	11	7	5	2014-03-03	개인
이천시	지적장애인시설	승가원자비복지타운 자비마을	경기도 이천시 설성면 신필리 80-32번지	경기도 이천시 설성면 설장로 374-57	17413	37.1261837	127.554094	031-642-1300	http://stown.or.kr	89	75	63	49	2006-11-01	사회복지법인 승가원
파주시	지적장애인시설	가없이좋은곳	경기도 파주시 법원읍 금곡리 428-1번지	경기도 파주시 법원읍 술이홀로1333번길 69	10806	37.8831034	126.8754678	031-958-7002	http://가없이좋은곳.com	70	64	48	38	1978-10-06	사회복지법인 주내자육원
파주시	지적장애인시설	겨자씨사랑의집	경기도 파주시 광탄면 발랑리 13-9번지	경기도 파주시 광탄면 부흥로 591	10830	37.8070052	126.9085862	031-941-6004	www.gyeojac.co.kr	40	39	38	28	2005-11-23	사회복지법인겨자씨
파주시	지적장애인시설	새꿈터	경기도 파주시 탄현면 법흥리 170-12번지	경기도 파주시 탄현면 평화로 672	10860	37.7770055	126.7114942	031-954-9156	http://www.newdreamer.net/	25	24	18	18	2015-09-10	사회복지법인 뉴드림
파주시	지적장애인시설	주람동산	경기도 파주시 조리읍 장곡리 207-1번지	경기도 파주시 조리읍 기곡길 138-16	10940	37.7554552	126.8371507	031-945-0012	http://www.jooramds.com/	25	25	8	7	2006-10-02	개인
파주시	지적장애인시설	주보라의집	경기도 파주시 문산읍 이천리 177-6번지	경기도 파주시 문산읍 배머리길 323	10810	37.8721588	126.8402538	031-954-7004	www.jubora.net	30	30	31	31	2015-12-10	사회복지법인 기쁨주리
평택시	지적장애인시설	동방아동재활원	경기도 평택시 소사동 106-5번지	경기도 평택시 소사1길 33	18034	36.9897159	127.1290601	031-652-2312	www.dcr.or.kr	52	49	43	43	1987-12-14	동방사회복지회
평택시	지적장애인시설	에바다마을	경기도 평택시 진위면 하북리 72-1번지	경기도 평택시 진위면 하북4길 129-23	17714	37.1127341	127.0660336	031-668-5662	https://evadatown.modoo.at/	30	30	30	27	1992-02-28	에바다복지회
평택시	지적장애인시설	평강의집	경기도 평택시 지산동 599-10번지	경기도 평택시 지산로139번길 70-2	17721	37.08121452	127.0731961	031-663-1826	http://www.pghome.or.kr/main/	7	3	2	2	2003-03-12	개인
포천시	시각장애인시설	가나안의 집	경기도 포천시 신북면 신평리 548번지	경기도 포천시 신북면 청신로2068번길 80	11138	37.93487578	127.2126126	031-531-4258	http://www.ongil.or.kr/index.php	29	22	18	18	2005-07-29	온길
포천시	지적장애인시설	나눔의 집	경기도 포천시 내촌면 진목리 369-3번지	경기도 포천시 내촌면 내진로 274-20	11190	37.90475987	127.2061265	031-532-1111	http://www.pcnanum.com/	29	27	19	19	2018-04-02	아름다운사람들
포천시	지적장애인시설	남사랑의 집	경기도 포천시 신북면 기지리 934-9번지	경기도 포천시 신북면 호국로 2039-157	11139	37.93210315	127.2227075	031-535-0035	http://namsarang.com/	29	27	21	21	1990-06-04	물댄동산
포천시	시각장애인시설	소망원	경기도 포천시 이동면 노곡리 1094-1번지	경기도 포천시 이동면 새낭로 500	11112	38.02097299	127.3295798	031-536-6292	https://happylog.naver.com/hlog/ihope/info?basic	30	21	19	18	2002-12-26	소망원
포천시	청각·언어 장애인시설	운보원	경기도 포천시 내촌면 마명리 120-8번지	경기도 포천시 내촌면 부마로282번길 99	11191	37.76935699	127.2022226	031-531-2161	http://cafe.daum.net/MakeHappiness	56	33	28	23	1993-10-19	한국청각장애인복지회
포천시	지체장애인시설	유일사랑의집	경기도 포천시 자작동 209-3번지	경기도 포천시 자작로3길 11	11158	37.8715016	127.1715776	031-531-9154	www.	16	13	9	7	2009-05-08	개인
포천시	지적장애인시설	임마누엘의 집	경기도 포천시 군내면 상성북리 429-4번지	경기도 포천시 군내면 반월산성로375번길 49	11152	37.88695761	127.2311408	031-535-8796	http://www.im21.org/main/main.php	29	18	7	8	2003-06-02	개인
포천시	지적장애인시설	해뜨는 집	경기도 포천시 신북면 가채리 486번지	경기도 포천시 신북면 중앙로335번길 57	11140	37.91640727	127.2081606	031-535-5076	http://www.sunrisehouse.co.kr/	30	29	28	28	2007-12-11	푸른나무
하남시	지적장애인시설	나그네집	경기도 하남시 하사창동 179번지	경기도 하남시 춘궁로37번길 49-43	13019	37.5132492	127.2051411	031-791-9049	www.nagnezip.com	29	28	9	9	2010-07-13	개인
하남시	지적장애인시설	소망의집	경기도 하남시 항동 258번지	경기도 하남시 고골로242번길 93	13021	37.5025758	127.1891215	031-791-4972	www.	20	19	8	7	2007-06-20	개인
하남시	지적장애인시설	작은프란치스코의집	경기도 하남시 상산곡동 124-18번지	경기도 하남시 하남대로249번길 12	13027	37.497826	127.2310867	031-793-5159	www.	15	10	13	13	2008-12-24	영보사회복지회법인

